Infinitive,бунтова́ть
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,бунту́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,бунтова́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бунту́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,бунтова́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,бунтова́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,бунту́ю
2nd Sing,бунту́ешь
3rd Sing,бунту́ет
1st Pl,бунту́ем
2nd Pl,бунту́ете
3rd Pl,бунту́ют
Past M,бунтова́л
Past F,бунтова́ла
Past N,бунтова́ло
Past PL,бунтова́ли
Imp S,бунту́й
Imp PL,бунту́йте
