Infinitive,дави́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,давя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дави́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,давя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дави́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,давлю́сь
2nd Sing,да́вишься
3rd Sing,да́вится
1st Pl,да́вимся
2nd Pl,да́витесь
3rd Pl,да́вятся
Past M,дави́лся
Past F,дави́лась
Past N,дави́лось
Past PL,дави́лись
Imp S,дави́сь
Imp PL,дави́тесь
