Infinitive,дава́ться
Zaliznyak Class,13b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,даю́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дава́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дава́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дава́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,даю́сь
2nd Sing,даёшься
3rd Sing,даётся
1st Pl,даёмся
2nd Pl,даётесь
3rd Pl,даю́тся
Past M,дава́лся
Past F,дава́лась
Past N,дава́лось
Past PL,дава́лись
Imp S,дава́йся
Imp PL,дава́йтесь
