Infinitive,дави́ть
Zaliznyak Class,4c[④]
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,давя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,да́вящий
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,дави́вший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,дави́мый
PART:3:Participle Type,passive
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,да́вленный
PART:4:Participle Type,passive
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
PART:5:Participle Text,давя́
PART:5:Participle Type,adverbial
PART:5:Participle Tense,present
PART:5:Participle Long or Short,long
PART:6:Participle Text,дави́в
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,short
PART:7:Participle Text,дави́вши
PART:7:Participle Type,adverbial
PART:7:Participle Tense,past
PART:7:Participle Long or Short,long
1st Sing,давлю́
2nd Sing,да́вишь
3rd Sing,да́вит
1st Pl,да́вим
2nd Pl,да́вите
3rd Pl,да́вят
Past M,дави́л
Past F,дави́ла
Past N,дави́ло
Past PL,дави́ли
Imp S,дави́
Imp PL,дави́те
