Infinitive,да́ться
Zaliznyak Class,irreg-b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,да́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,да́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,да́мся
2nd Sing,да́шься
3rd Sing,да́стся
1st Pl,дади́мся
2nd Pl,дади́тесь
3rd Pl,даду́тся
Past M,да́лся
Past F,дала́сь
Past N,дало́сь
Past PL,дали́сь
Imp S,да́йся
Imp PL,да́йтесь
