Infinitive,сближа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сближа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сближа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сближа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сближа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сближа́юсь
2nd Sing,сближа́ешься
3rd Sing,сближа́ется
1st Pl,сближа́емся
2nd Pl,сближа́етесь
3rd Pl,сближа́ются
Past M,сближа́лся
Past F,сближа́лась
Past N,сближа́лось
Past PL,сближа́лись
Imp S,сближа́йся
Imp PL,сближа́йтесь
