Infinitive,сби́ть
Zaliznyak Class,11*b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сби́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,собью́
2nd Sing,собьёшь
3rd Sing,собьёт
1st Pl,собьём
2nd Pl,собьёте
3rd Pl,собью́т
Past M,сби́л
Past F,сби́ла
Past N,сби́ло
Past PL,сби́ли
Imp S,сбе́й
Imp PL,сбе́йте
