Infinitive,сби́ться
Zaliznyak Class,11*b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сби́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сби́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,собью́сь
2nd Sing,собьёшься
3rd Sing,собьётся
1st Pl,собьёмся
2nd Pl,собьётесь
3rd Pl,собью́тся
Past M,сби́лся
Past F,сби́лась
Past N,сби́лось
Past PL,сби́лись
Imp S,сбе́йся
Imp PL,сбе́йтесь
