Infinitive,сбива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сбива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сбива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сбива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сбива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сбива́юсь
2nd Sing,сбива́ешься
3rd Sing,сбива́ется
1st Pl,сбива́емся
2nd Pl,сбива́етесь
3rd Pl,сбива́ются
Past M,сбива́лся
Past F,сбива́лась
Past N,сбива́лось
Past PL,сбива́лись
Imp S,сбива́йся
Imp PL,сбива́йтесь
