Infinitive,сболтну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сболтну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сбо́лтнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сболтну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сболтну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сболтну́
2nd Sing,сболтнёшь
3rd Sing,сболтнёт
1st Pl,сболтнём
2nd Pl,сболтнёте
3rd Pl,сболтну́т
Past M,сболтну́л
Past F,сболтну́ла
Past N,сболтну́ло
Past PL,сболтну́ли
Imp S,сболтни́
Imp PL,сболтни́те
