Infinitive,сбыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сбыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сбыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сбыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сбыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сбыва́юсь
2nd Sing,сбыва́ешься
3rd Sing,сбыва́ется
1st Pl,сбыва́емся
2nd Pl,сбыва́етесь
3rd Pl,сбыва́ются
Past M,сбыва́лся
Past F,сбыва́лась
Past N,сбыва́лось
Past PL,сбыва́лись
Imp S,сбыва́йся
Imp PL,сбыва́йтесь
