Infinitive,сбро́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сбро́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сбро́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сбро́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сбро́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сбро́шу
2nd Sing,сбро́сишь
3rd Sing,сбро́сит
1st Pl,сбро́сим
2nd Pl,сбро́сите
3rd Pl,сбро́сят
Past M,сбро́сил
Past F,сбро́сила
Past N,сбро́сило
Past PL,сбро́сили
Imp S,сбро́сь
Imp PL,сбро́сьте
