Infinitive,сбере́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сберёгший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сбережённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сберёгши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,сберегу́
2nd Sing,сбережёшь
3rd Sing,сбережёт
1st Pl,сбережём
2nd Pl,сбережёте
3rd Pl,сберегу́т
Past M,сберёг
Past F,сберегла́
Past N,сберегло́
Past PL,сберегли́
Imp S,сбереги́
Imp PL,сбереги́те
