Infinitive,сбежа́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сбежа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сбежа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,сбежа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,сбегу́
2nd Sing,сбежи́шь
3rd Sing,сбежи́т
1st Pl,сбежи́м
2nd Pl,сбежи́те
3rd Pl,сбегу́т
Past M,сбежа́л
Past F,сбежа́ла
Past N,сбежа́ло
Past PL,сбежа́ли
Imp S,сбеги́
Imp PL,сбеги́те
