Infinitive,сбежа́ться
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сбежа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сбежа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сбегу́сь
2nd Sing,сбежи́шься
3rd Sing,сбежи́тся
1st Pl,сбежи́мся
2nd Pl,сбежи́тесь
3rd Pl,сбегу́тся
Past M,сбежа́лся
Past F,сбежа́лась
Past N,сбежа́лось
Past PL,сбежа́лись
Imp S,сбеги́сь
Imp PL,сбеги́тесь
