Infinitive,сба́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сба́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сба́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сба́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сба́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сба́влю
2nd Sing,сба́вишь
3rd Sing,сба́вит
1st Pl,сба́вим
2nd Pl,сба́вите
3rd Pl,сба́вят
Past M,сба́вил
Past F,сба́вила
Past N,сба́вило
Past PL,сба́вили
Imp S,сба́вь
Imp PL,сба́вьте
