Infinitive,сбы́ться
Zaliznyak Class,irreg-a/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сбы́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сбы́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сбу́дусь
2nd Sing,сбу́дешься
3rd Sing,сбу́дется
1st Pl,сбу́демся
2nd Pl,сбу́детесь
3rd Pl,сбу́дутся
Past M,сбы́лся
Past F,сбыла́сь
Past N,сбыло́сь
Past PL,сбыли́сь
Imp S,сбу́дься
Imp PL,сбу́дьтесь
