Infinitive,сбы́ть
Zaliznyak Class,irreg-a/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сбы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сбы́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сбы́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сбы́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сбу́ду
2nd Sing,сбу́дешь
3rd Sing,сбу́дет
1st Pl,сбу́дем
2nd Pl,сбу́дете
3rd Pl,сбу́дут
Past M,сбы́л
Past F,сбыла́
Past N,сбы́ло
Past PL,сбы́ли
Imp S,сбу́дь
Imp PL,сбу́дьте
