Infinitive,сбли́зиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сбли́зившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сбли́зившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сбли́жусь
2nd Sing,сбли́зишься
3rd Sing,сбли́зится
1st Pl,сбли́зимся
2nd Pl,сбли́зитесь
3rd Pl,сбли́зятся
Past M,сбли́зился
Past F,сбли́зилась
Past N,сбли́зилось
Past PL,сбли́зились
Imp S,сбли́зься
Imp PL,сбли́зьтесь
