Infinitive,сбра́сывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сбра́сывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сбра́сывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сбра́сываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сбра́сывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,сбра́сывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,сбра́сывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,сбра́сываю
2nd Sing,сбра́сываешь
3rd Sing,сбра́сывает
1st Pl,сбра́сываем
2nd Pl,сбра́сываете
3rd Pl,сбра́сывают
Past M,сбра́сывал
Past F,сбра́сывала
Past N,сбра́сывало
Past PL,сбра́сывали
Imp S,сбра́сывай
Imp PL,сбра́сывайте
