Infinitive,дви́нуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,дви́нувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,дви́нувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,дви́нусь
2nd Sing,дви́нешься
3rd Sing,дви́нется
1st Pl,дви́немся
2nd Pl,дви́нетесь
3rd Pl,дви́нутся
Past M,дви́нулся
Past F,дви́нулась
Past N,дви́нулось
Past PL,дви́нулись
Imp S,дви́нься
Imp PL,дви́ньтесь
