Infinitive,дви́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,дви́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,дви́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дви́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,дви́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,дви́ну
2nd Sing,дви́нешь
3rd Sing,дви́нет
1st Pl,дви́нем
2nd Pl,дви́нете
3rd Pl,дви́нут
Past M,дви́нул
Past F,дви́нула
Past N,дви́нуло
Past PL,дви́нули
Imp S,дви́нь
Imp PL,дви́ньте
