Infinitive,дви́гаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,дви́гающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дви́гавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дви́гаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дви́гавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,дви́гаюсь
2nd Sing,дви́гаешься
3rd Sing,дви́гается
1st Pl,дви́гаемся
2nd Pl,дви́гаетесь
3rd Pl,дви́гаются
Past M,дви́гался
Past F,дви́галась
Past N,дви́галось
Past PL,дви́гались
Imp S,дви́гайся
Imp PL,дви́гайтесь
