Infinitive,аресто́вывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,аресто́вывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,аресто́вывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,аресто́вываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,аресто́вывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,аресто́вывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,аресто́вывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,аресто́вываю
2nd Sing,аресто́вываешь
3rd Sing,аресто́вывает
1st Pl,аресто́вываем
2nd Pl,аресто́вываете
3rd Pl,аресто́вывают
Past M,аресто́вывал
Past F,аресто́вывала
Past N,аресто́вывало
Past PL,аресто́вывали
Imp S,аресто́вывай
Imp PL,аресто́вывайте
