Infinitive,арестова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,арестова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,аресто́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,арестова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,арестова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,аресту́ю
2nd Sing,аресту́ешь
3rd Sing,аресту́ет
1st Pl,аресту́ем
2nd Pl,аресту́ете
3rd Pl,аресту́ют
Past M,арестова́л
Past F,арестова́ла
Past N,арестова́ло
Past PL,арестова́ли
Imp S,аресту́й
Imp PL,аресту́йте
