Infinitive,иронизи́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,иронизи́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,иронизи́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,иронизи́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,иронизи́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,иронизи́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,иронизи́рую
2nd Sing,иронизи́руешь
3rd Sing,иронизи́рует
1st Pl,иронизи́руем
2nd Pl,иронизи́руете
3rd Pl,иронизи́руют
Past M,иронизи́ровал
Past F,иронизи́ровала
Past N,иронизи́ровало
Past PL,иронизи́ровали
Imp S,иронизи́руй
Imp PL,иронизи́руйте
