Infinitive,чу́ять
Zaliznyak Class,6a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,чу́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,чу́явший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,чу́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,чу́яв
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,чу́явши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,чу́ю
2nd Sing,чу́ешь
3rd Sing,чу́ет
1st Pl,чу́ем
2nd Pl,чу́ете
3rd Pl,чу́ют
Past M,чу́ял
Past F,чу́яла
Past N,чу́яло
Past PL,чу́яли
Imp S,чу́й
Imp PL,чу́йте
