Infinitive,чура́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,чура́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,чура́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,чура́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,чура́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,чура́юсь
2nd Sing,чура́ешься
3rd Sing,чура́ется
1st Pl,чура́емся
2nd Pl,чура́етесь
3rd Pl,чура́ются
Past M,чура́лся
Past F,чура́лась
Past N,чура́лось
Past PL,чура́лись
Imp S,чура́йся
Imp PL,чура́йтесь
