Infinitive,вбега́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вбега́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вбега́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вбега́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вбега́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,вбега́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,вбега́ю
2nd Sing,вбега́ешь
3rd Sing,вбега́ет
1st Pl,вбега́ем
2nd Pl,вбега́ете
3rd Pl,вбега́ют
Past M,вбега́л
Past F,вбега́ла
Past N,вбега́ло
Past PL,вбега́ли
Imp S,вбега́й
Imp PL,вбега́йте
