Infinitive,вбежа́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вбежа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вбежа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вбежа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вбегу́
2nd Sing,вбежи́шь
3rd Sing,вбежи́т
1st Pl,вбежи́м
2nd Pl,вбежи́те
3rd Pl,вбегу́т
Past M,вбежа́л
Past F,вбежа́ла
Past N,вбежа́ло
Past PL,вбежа́ли
Imp S,вбеги́
Imp PL,вбеги́те
