Infinitive,жа́ловаться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,жа́лующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,жа́ловавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,жа́луясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,жа́ловавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,жа́луюсь
2nd Sing,жа́луешься
3rd Sing,жа́луется
1st Pl,жа́луемся
2nd Pl,жа́луетесь
3rd Pl,жа́луются
Past M,жа́ловался
Past F,жа́ловалась
Past N,жа́ловалось
Past PL,жа́ловались
Imp S,жа́луйся
Imp PL,жа́луйтесь
