Infinitive,жа́ловать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,жа́лующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,жа́ловавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,жа́луя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,жа́ловав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,жа́ловавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,жа́лую
2nd Sing,жа́луешь
3rd Sing,жа́лует
1st Pl,жа́луем
2nd Pl,жа́луете
3rd Pl,жа́луют
Past M,жа́ловал
Past F,жа́ловала
Past N,жа́ловало
Past PL,жа́ловали
Imp S,жа́луй
Imp PL,жа́луйте
