Infinitive,жа́ждать
Zaliznyak Class,6°a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,жа́ждущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,жа́ждавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,жа́ждая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,жа́ждав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,жа́ждавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,жа́жду
2nd Sing,жа́ждешь
3rd Sing,жа́ждет
1st Pl,жа́ждем
2nd Pl,жа́ждете
3rd Pl,жа́ждут
Past M,жа́ждал
Past F,жа́ждала
Past N,жа́ждало
Past PL,жа́ждали
Imp S,жа́жди
Imp PL,жа́ждите
