Infinitive,жа́ть
Zaliznyak Class,14b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,жму́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,жа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,жа́тый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,жмя́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,жа́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,жа́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,жму́
2nd Sing,жмёшь
3rd Sing,жмёт
1st Pl,жмём
2nd Pl,жмёте
3rd Pl,жму́т
Past M,жа́л
Past F,жа́ла
Past N,жа́ло
Past PL,жа́ли
Imp S,жми́
Imp PL,жми́те
