Infinitive,жа́риться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,жа́рящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,жа́рившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,жа́рясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,жа́рившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,жа́рюсь
2nd Sing,жа́ришься
3rd Sing,жа́рится
1st Pl,жа́римся
2nd Pl,жа́ритесь
3rd Pl,жа́рятся
Past M,жа́рился
Past F,жа́рилась
Past N,жа́рилось
Past PL,жа́рились
Imp S,жа́рься
Imp PL,жа́рьтесь
