Infinitive,жа́ться
Zaliznyak Class,14b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,жму́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,жа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,жмя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,жа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,жму́сь
2nd Sing,жмёшься
3rd Sing,жмётся
1st Pl,жмёмся
2nd Pl,жмётесь
3rd Pl,жму́тся
Past M,жа́лся
Past F,жа́лась
Past N,жа́лось
Past PL,жа́лись
Imp S,жми́сь
Imp PL,жми́тесь
