Infinitive,любова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,любу́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,любова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,любу́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,любова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,любу́юсь
2nd Sing,любу́ешься
3rd Sing,любу́ется
1st Pl,любу́емся
2nd Pl,любу́етесь
3rd Pl,любу́ются
Past M,любова́лся
Past F,любова́лась
Past N,любова́лось
Past PL,любова́лись
Imp S,любу́йся
Imp PL,любу́йтесь
