Infinitive,любопы́тствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,любопы́тствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,любопы́тствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,любопы́тствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,любопы́тствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,любопы́тствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,любопы́тствую
2nd Sing,любопы́тствуешь
3rd Sing,любопы́тствует
1st Pl,любопы́тствуем
2nd Pl,любопы́тствуете
3rd Pl,любопы́тствуют
Past M,любопы́тствовал
Past F,любопы́тствовала
Past N,любопы́тствовало
Past PL,любопы́тствовали
Imp S,любопы́тствуй
Imp PL,любопы́тствуйте
