Infinitive,убежда́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,убежда́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,убежда́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,убежда́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,убежда́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,убежда́юсь
2nd Sing,убежда́ешься
3rd Sing,убежда́ется
1st Pl,убежда́емся
2nd Pl,убежда́етесь
3rd Pl,убежда́ются
Past M,убежда́лся
Past F,убежда́лась
Past N,убежда́лось
Past PL,убежда́лись
Imp S,убежда́йся
Imp PL,убежда́йтесь
