Infinitive,убеди́ть
Zaliznyak Class,4b(-жд-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,убеди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,убеждённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,убеди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,убеди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
2nd Sing,убеди́шь
3rd Sing,убеди́т
1st Pl,убеди́м
2nd Pl,убеди́те
3rd Pl,убедя́т
Past M,убеди́л
Past F,убеди́ла
Past N,убеди́ло
Past PL,убеди́ли
Imp S,убеди́
Imp PL,убеди́те
