Infinitive,убыстря́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,убыстря́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,убыстря́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,убыстря́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,убыстря́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,убыстря́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,убыстря́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,убыстря́ю
2nd Sing,убыстря́ешь
3rd Sing,убыстря́ет
1st Pl,убыстря́ем
2nd Pl,убыстря́ете
3rd Pl,убыстря́ют
Past M,убыстря́л
Past F,убыстря́ла
Past N,убыстря́ло
Past PL,убыстря́ли
Imp S,убыстря́й
Imp PL,убыстря́йте
