Infinitive,убежа́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,убежа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,убежа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,убежа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,убегу́
2nd Sing,убежи́шь
3rd Sing,убежи́т
1st Pl,убежи́м
2nd Pl,убежи́те
3rd Pl,убегу́т
Past M,убежа́л
Past F,убежа́ла
Past N,убежа́ло
Past PL,убежа́ли
Imp S,убеги́
Imp PL,убеги́те
