Infinitive,убра́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,убра́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,убра́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,уберу́сь
2nd Sing,уберёшься
3rd Sing,уберётся
1st Pl,уберёмся
2nd Pl,уберётесь
3rd Pl,уберу́тся
Past M,убра́лся
Past F,убрала́сь
Past N,убрало́сь
Past PL,убрали́сь
Imp S,убери́сь
Imp PL,убери́тесь
