Infinitive,уба́виться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уба́вившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уба́вившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,уба́влюсь
2nd Sing,уба́вишься
3rd Sing,уба́вится
1st Pl,уба́вимся
2nd Pl,уба́витесь
3rd Pl,уба́вятся
Past M,уба́вился
Past F,уба́вилась
Past N,уба́вилось
Past PL,уба́вились
Imp S,уба́вься
Imp PL,уба́вьтесь
