Infinitive,уба́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уба́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уба́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уба́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уба́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уба́влю
2nd Sing,уба́вишь
3rd Sing,уба́вит
1st Pl,уба́вим
2nd Pl,уба́вите
3rd Pl,уба́вят
Past M,уба́вил
Past F,уба́вила
Past N,уба́вило
Past PL,уба́вили
Imp S,уба́вь
Imp PL,уба́вьте
