Infinitive,ублажи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ублажи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ублажённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ублажи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ублажи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ублажу́
2nd Sing,ублажи́шь
3rd Sing,ублажи́т
1st Pl,ублажи́м
2nd Pl,ублажи́те
3rd Pl,ублажа́т
Past M,ублажи́л
Past F,ублажи́ла
Past N,ублажи́ло
Past PL,ублажи́ли
Imp S,ублажи́
Imp PL,ублажи́те
