Infinitive,уби́ть
Zaliznyak Class,11b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уби́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,убью́
2nd Sing,убьёшь
3rd Sing,убьёт
1st Pl,убьём
2nd Pl,убьёте
3rd Pl,убью́т
Past M,уби́л
Past F,уби́ла
Past N,уби́ло
Past PL,уби́ли
Imp S,убе́й
Imp PL,убе́йте
