Infinitive,убира́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,убира́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,убира́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,убира́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,убира́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,убира́юсь
2nd Sing,убира́ешься
3rd Sing,убира́ется
1st Pl,убира́емся
2nd Pl,убира́етесь
3rd Pl,убира́ются
Past M,убира́лся
Past F,убира́лась
Past N,убира́лось
Past PL,убира́лись
Imp S,убира́йся
Imp PL,убира́йтесь
