Infinitive,убива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,убива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,убива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,убива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,убива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,убива́юсь
2nd Sing,убива́ешься
3rd Sing,убива́ется
1st Pl,убива́емся
2nd Pl,убива́етесь
3rd Pl,убива́ются
Past M,убива́лся
Past F,убива́лась
Past N,убива́лось
Past PL,убива́лись
Imp S,убива́йся
Imp PL,убива́йтесь
