Infinitive,убыва́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,убыва́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,убыва́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,убыва́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,убыва́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,убыва́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,убыва́ю
2nd Sing,убыва́ешь
3rd Sing,убыва́ет
1st Pl,убыва́ем
2nd Pl,убыва́ете
3rd Pl,убыва́ют
Past M,убыва́л
Past F,убыва́ла
Past N,убыва́ло
Past PL,убыва́ли
Imp S,убыва́й
Imp PL,убыва́йте
