Infinitive,убы́ть
Zaliznyak Class,irreg-a/c①
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,убы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,убы́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,убы́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,убу́ду
2nd Sing,убу́дешь
3rd Sing,убу́дет
1st Pl,убу́дем
2nd Pl,убу́дете
3rd Pl,убу́дут
Past M,у́был
Past F,убыла́
Past N,у́было
Past PL,у́были
Imp S,убу́дь
Imp PL,убу́дьте
