Infinitive,убере́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уберёгший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,убережённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уберёгши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,уберегу́
2nd Sing,убережёшь
3rd Sing,убережёт
1st Pl,убережём
2nd Pl,убережёте
3rd Pl,уберегу́т
Past M,уберёг
Past F,уберегла́
Past N,уберегло́
Past PL,уберегли́
Imp S,убереги́
Imp PL,убереги́те
