Infinitive,убра́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,убра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,у́бранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,убра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,убра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уберу́
2nd Sing,уберёшь
3rd Sing,уберёт
1st Pl,уберём
2nd Pl,уберёте
3rd Pl,уберу́т
Past M,убра́л
Past F,убрала́
Past N,убра́ло
Past PL,убра́ли
Imp S,убери́
Imp PL,убери́те
