Infinitive,убеди́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,убеди́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,убеди́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,убежу́сь
2nd Sing,убеди́шься
3rd Sing,убеди́тся
1st Pl,убеди́мся
2nd Pl,убеди́тесь
3rd Pl,убедя́тся
Past M,убеди́лся
Past F,убеди́лась
Past N,убеди́лось
Past PL,убеди́лись
Imp S,убеди́сь
Imp PL,убеди́тесь
