Infinitive,швартова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,шварту́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,швартова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,шварту́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,швартова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,шварту́юсь
2nd Sing,шварту́ешься
3rd Sing,шварту́ется
1st Pl,шварту́емся
2nd Pl,шварту́етесь
3rd Pl,шварту́ются
Past M,швартова́лся
Past F,швартова́лась
Past N,швартова́лось
Past PL,швартова́лись
Imp S,шварту́йся
Imp PL,шварту́йтесь
