Infinitive,швырну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,швырну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,швырну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,швырну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,швырну́
2nd Sing,швырнёшь
3rd Sing,швырнёт
1st Pl,швырнём
2nd Pl,швырнёте
3rd Pl,швырну́т
Past M,швырну́л
Past F,швырну́ла
Past N,швырну́ло
Past PL,швырну́ли
Imp S,швырни́
Imp PL,швырни́те
