Infinitive,вали́ть
Zaliznyak Class,4c[④]
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,валя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,ва́лящий
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,вали́вший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,вали́мый
PART:3:Participle Type,passive
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,ва́ленный
PART:4:Participle Type,passive
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
PART:5:Participle Text,валя́
PART:5:Participle Type,adverbial
PART:5:Participle Tense,present
PART:5:Participle Long or Short,long
PART:6:Participle Text,вали́в
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,short
PART:7:Participle Text,вали́вши
PART:7:Participle Type,adverbial
PART:7:Participle Tense,past
PART:7:Participle Long or Short,long
1st Sing,валю́
2nd Sing,ва́лишь
3rd Sing,ва́лит
1st Pl,ва́лим
2nd Pl,ва́лите
3rd Pl,ва́лят
Past M,вали́л
Past F,вали́ла
Past N,вали́ло
Past PL,вали́ли
Imp S,вали́
Imp PL,вали́те
