Infinitive,валя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,валя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,валя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,валя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,валя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,валя́юсь
2nd Sing,валя́ешься
3rd Sing,валя́ется
1st Pl,валя́емся
2nd Pl,валя́етесь
3rd Pl,валя́ются
Past M,валя́лся
Past F,валя́лась
Past N,валя́лось
Past PL,валя́лись
Imp S,валя́йся
Imp PL,валя́йтесь
