Infinitive,вари́ть
Zaliznyak Class,4c[④]
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,варя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,ва́рящий
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,вари́вший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,вари́мый
PART:3:Participle Type,passive
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,ва́ренный
PART:4:Participle Type,passive
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
PART:5:Participle Text,варя́
PART:5:Participle Type,adverbial
PART:5:Participle Tense,present
PART:5:Participle Long or Short,long
PART:6:Participle Text,вари́в
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,short
PART:7:Participle Text,вари́вши
PART:7:Participle Type,adverbial
PART:7:Participle Tense,past
PART:7:Participle Long or Short,long
1st Sing,варю́
2nd Sing,ва́ришь
3rd Sing,ва́рит
1st Pl,ва́рим
2nd Pl,ва́рите
3rd Pl,ва́рят
Past M,вари́л
Past F,вари́ла
Past N,вари́ло
Past PL,вари́ли
Imp S,вари́
Imp PL,вари́те
