Infinitive,вали́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,валя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вали́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,валя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вали́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,валю́сь
2nd Sing,ва́лишься
3rd Sing,ва́лится
1st Pl,ва́лимся
2nd Pl,ва́литесь
3rd Pl,ва́лятся
Past M,вали́лся
Past F,вали́лась
Past N,вали́лось
Past PL,вали́лись
Imp S,вали́сь
Imp PL,вали́тесь
