Infinitive,варьи́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,варьи́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,варьи́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,варьи́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,варьи́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,варьи́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,варьи́рую
2nd Sing,варьи́руешь
3rd Sing,варьи́рует
1st Pl,варьи́руем
2nd Pl,варьи́руете
3rd Pl,варьи́руют
Past M,варьи́ровал
Past F,варьи́ровала
Past N,варьи́ровало
Past PL,варьи́ровали
Imp S,варьи́руй
Imp PL,варьи́руйте
