Infinitive,ва́жничать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ва́жничающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ва́жничавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ва́жничая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ва́жничав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ва́жничавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ва́жничаю
2nd Sing,ва́жничаешь
3rd Sing,ва́жничает
1st Pl,ва́жничаем
2nd Pl,ва́жничаете
3rd Pl,ва́жничают
Past M,ва́жничал
Past F,ва́жничала
Past N,ва́жничало
Past PL,ва́жничали
Imp S,ва́жничай
Imp PL,ва́жничайте
