Infinitive,злора́дствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,злора́дствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,злора́дствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,злора́дствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,злора́дствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,злора́дствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,злора́дствую
2nd Sing,злора́дствуешь
3rd Sing,злора́дствует
1st Pl,злора́дствуем
2nd Pl,злора́дствуете
3rd Pl,злора́дствуют
Past M,злора́дствовал
Past F,злора́дствовала
Past N,злора́дствовало
Past PL,злора́дствовали
Imp S,злора́дствуй
Imp PL,злора́дствуйте
