Infinitive,вре́зать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вре́завший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вре́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вре́зав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вре́завши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вре́жу
2nd Sing,вре́жешь
3rd Sing,вре́жет
1st Pl,вре́жем
2nd Pl,вре́жете
3rd Pl,вре́жут
Past M,вре́зал
Past F,вре́зала
Past N,вре́зало
Past PL,вре́зали
Imp S,вре́жь
Imp PL,вре́жьте
